x,y,z,concentration_adn_2,concentration_idn_2,concentration_n2,molef_adn_2,molef_idn_2,molef_n2,density
0.00000E+00,0.00000E+00,0.00000E+00,6.52217E-06,1.85655E-06,1.96425E-04,3.18460E-02,9.06502E-03,9.59089E-01,6.75724E-03
0.00000E+00,4.93000E-02,0.00000E+00,6.71631E-06,1.77677E-06,1.96410E-04,3.27779E-02,8.67125E-03,9.58551E-01,6.77143E-03
-3.49000E-02,3.49000E-02,0.00000E+00,6.63903E-06,1.81232E-06,1.96438E-04,3.24030E-02,8.84537E-03,9.58752E-01,6.76703E-03
-4.93000E-02,0.00000E+00,0.00000E+00,6.76389E-06,1.75715E-06,1.96414E-04,3.30050E-02,8.57415E-03,9.58421E-01,6.77511E-03
-3.49000E-02,-3.49000E-02,0.00000E+00,6.72389E-06,1.77306E-06,1.96382E-04,3.28189E-02,8.65420E-03,9.58527E-01,6.77110E-03
0.00000E+00,-4.93000E-02,0.00000E+00,6.73037E-06,1.77480E-06,1.96482E-04,3.28331E-02,8.65811E-03,9.58509E-01,6.77514E-03
3.49000E-02,-3.49000E-02,0.00000E+00,6.65277E-06,1.80732E-06,1.96445E-04,3.24677E-02,8.82031E-03,9.58712E-01,6.76836E-03
4.93000E-02,0.00000E+00,0.00000E+00,6.78799E-06,1.74811E-06,1.96430E-04,3.31176E-02,8.52877E-03,9.58354E-01,6.77752E-03
3.49000E-02,3.49000E-02,0.00000E+00,6.73796E-06,1.76711E-06,1.96379E-04,3.28867E-02,8.62493E-03,9.58488E-01,6.77205E-03
0.00000E+00,9.87000E-02,0.00000E+00,6.89610E-06,1.69815E-06,1.96272E-04,3.36615E-02,8.28907E-03,9.58049E-01,6.78028E-03
-3.78000E-02,9.12000E-02,0.00000E+00,6.88399E-06,1.70561E-06,1.96287E-04,3.36006E-02,8.32507E-03,9.58074E-01,6.78021E-03
-6.98000E-02,6.98000E-02,0.00000E+00,6.94598E-06,1.67661E-06,1.96254E-04,3.39032E-02,8.18352E-03,9.57913E-01,6.78335E-03
-9.12000E-02,3.78000E-02,0.00000E+00,6.82769E-06,1.73144E-06,1.96359E-04,3.33191E-02,8.44943E-03,9.58232E-01,6.77845E-03
-9.87000E-02,0.00000E+00,0.00000E+00,6.91083E-06,1.69251E-06,1.96289E-04,3.37291E-02,8.26050E-03,9.58010E-01,6.78193E-03
-9.12000E-02,-3.78000E-02,0.00000E+00,6.90582E-06,1.69758E-06,1.96315E-04,3.37004E-02,8.28418E-03,9.58015E-01,6.78278E-03
-6.98000E-02,-6.98000E-02,0.00000E+00,6.96177E-06,1.67097E-06,1.96270E-04,3.39760E-02,8.15495E-03,9.57869E-01,6.78513E-03
-3.78000E-02,-9.12000E-02,0.00000E+00,6.84568E-06,1.72632E-06,1.96388E-04,3.34001E-02,8.42273E-03,9.58177E-01,6.78099E-03
0.00000E+00,-9.87000E-02,0.00000E+00,6.95868E-06,1.67545E-06,1.96347E-04,3.39480E-02,8.17369E-03,9.57878E-01,6.78758E-03
3.78000E-02,-9.12000E-02,0.00000E+00,6.89780E-06,1.70287E-06,1.96396E-04,3.36484E-02,8.30681E-03,9.58045E-01,6.78478E-03
6.98000E-02,-6.98000E-02,0.00000E+00,6.94024E-06,1.68098E-06,1.96318E-04,3.38649E-02,8.20233E-03,9.57933E-01,6.78505E-03
9.12000E-02,-3.78000E-02,0.00000E+00,6.84866E-06,1.72366E-06,1.96372E-04,3.34171E-02,8.41036E-03,9.58173E-01,6.78053E-03
9.87000E-02,0.00000E+00,0.00000E+00,6.94877E-06,1.67715E-06,1.96313E-04,3.39065E-02,8.18362E-03,9.57910E-01,6.78550E-03
9.12000E-02,3.78000E-02,0.00000E+00,6.86605E-06,1.71567E-06,1.96352E-04,3.35037E-02,8.37180E-03,9.58125E-01,6.78114E-03
6.98000E-02,6.98000E-02,0.00000E+00,6.96703E-06,1.66832E-06,1.96273E-04,3.40007E-02,8.14180E-03,9.57857E-01,6.78552E-03
3.78000E-02,9.12000E-02,0.00000E+00,6.84008E-06,1.73006E-06,1.96426E-04,3.33668E-02,8.43943E-03,9.58194E-01,6.78189E-03
0.00000E+00,1.48000E-01,0.00000E+00,6.95063E-06,1.68301E-06,1.96177E-04,3.39368E-02,8.21739E-03,9.57846E-01,6.78295E-03
-3.83000E-02,1.43000E-01,0.00000E+00,6.93306E-06,1.69391E-06,1.96192E-04,3.38497E-02,8.27029E-03,9.57880E-01,6.78267E-03
-7.40000E-02,1.28000E-01,0.00000E+00,7.00774E-06,1.66232E-06,1.96177E-04,3.42095E-02,8.11491E-03,9.57676E-01,6.78771E-03
-1.05000E-01,1.05000E-01,0.00000E+00,7.02449E-06,1.65983E-06,1.96160E-04,3.42919E-02,8.10289E-03,9.57605E-01,6.78921E-03
-1.28000E-01,7.40000E-02,0.00000E+00,6.97784E-06,1.67695E-06,1.96208E-04,3.40610E-02,8.18574E-03,9.57753E-01,6.78671E-03
-1.43000E-01,3.83000E-02,0.00000E+00,6.94884E-06,1.69055E-06,1.96227E-04,3.39190E-02,8.25200E-03,9.57829E-01,6.78534E-03
-1.48000E-01,0.00000E+00,0.00000E+00,6.97680E-06,1.67622E-06,1.96214E-04,3.40552E-02,8.18199E-03,9.57763E-01,6.78662E-03
-1.43000E-01,-3.83000E-02,0.00000E+00,6.94606E-06,1.69118E-06,1.96198E-04,3.39105E-02,8.25631E-03,9.57833E-01,6.78423E-03
-1.28000E-01,-7.40000E-02,0.00000E+00,7.01873E-06,1.65900E-06,1.96159E-04,3.42650E-02,8.09912E-03,9.57636E-01,6.78822E-03
-1.05000E-01,-1.05000E-01,0.00000E+00,7.03538E-06,1.65667E-06,1.96142E-04,3.43467E-02,8.08788E-03,9.57565E-01,6.78976E-03
-7.40000E-02,-1.28000E-01,0.00000E+00,7.01104E-06,1.66609E-06,1.96237E-04,3.42146E-02,8.13070E-03,9.57655E-01,6.79049E-03
-3.83000E-02,-1.43000E-01,0.00000E+00,6.93990E-06,1.69522E-06,1.96215E-04,3.38780E-02,8.27542E-03,9.57847E-01,6.78450E-03
0.00000E+00,-1.48000E-01,0.00000E+00,7.00124E-06,1.66506E-06,1.96186E-04,3.41771E-02,8.12812E-03,9.57695E-01,6.78747E-03
3.83000E-02,-1.43000E-01,0.00000E+00,6.97290E-06,1.67809E-06,1.96210E-04,3.40372E-02,8.19133E-03,9.57771E-01,6.78625E-03
7.40000E-02,-1.28000E-01,0.00000E+00,6.95322E-06,1.68916E-06,1.96257E-04,3.39349E-02,8.24388E-03,9.57821E-01,6.78658E-03
