reference_condition,condition,field,median_ratio,ratio_std
1,2,concentration_adn_2,0.8005996847598621,3.851693533806371e-06
1,2,concentration_idn_2,0.8010148706482015,5.545691313930127e-06
1,2,concentration_n2,0.8007624414124017,4.456029036721259e-06
1,2,total_concentration,0.8007618436217045,4.477572615650881e-06
1,3,concentration_adn_2,1.1993779216375842,3.6862929799713658e-06
1,3,concentration_idn_2,1.1993794550491694,3.897116269003182e-06
1,3,concentration_n2,1.1993792664551435,4.0157717723755476e-06
1,3,total_concentration,1.1993792099350709,3.998544720917963e-06
1,4,concentration_adn_2,0.6703671805196642,3.5987224778515536e-05
1,4,concentration_idn_2,1.0047261786417836,0.00042099851282184853
1,4,concentration_n2,1.0058017859601125,9.558465795635136e-05
1,4,total_concentration,1.000005887136612,1.4443888056095252e-06
1,5,concentration_adn_2,1.9641026838274782,0.00032389414335291496
1,5,concentration_idn_2,0.9855487715325019,0.0012805755556817278
1,5,concentration_n2,0.9830405290885539,0.00027513474446555557
1,5,total_concentration,0.9999826505086159,1.3499020573392218e-06
