model_id,candidate_rank,roles,orders,quantity,unit,split,evaluation_scope,effect_groups,reduction_comparisons,condition,mse,rmse,mae,max_abs,observation_count,mean_bias,mean_mse,centered_mse,centered_rmse,centered_r2,spatial_correlation,normalized_rmse,target_mean,target_variance,relative_rmse,baseline_mse,mse_nm2_s2,rmse_nm_s,mae_nm_s,max_abs_nm_s,r2,bias_nm_s,relative_rmse_vs_test_mean,relative_bias_vs_test_mean,centered_spatial_rmse_nm_s,centered_spatial_r2,constant_train_mean_rmse_nm_s,rmse_improvement_vs_constant_train_mean,target_range_nm_s,prediction_range_nm_s,range_capture_fraction,weight,refit_score,effective_roles,effect_scopes,response_structure,regularization,common_total_order,within_total_order,max_effect_coefficient,boundary_parameters,case,selected_model
"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",1,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}",{},deposition_rate,nm/s,holdout,fixed_model_holdout,"{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}",[],3,1.099626429180128e-06,0.0010486307401464674,0.0009412973331437277,0.0024610481454290234,49.0,0.0004310640638207177,1.8581622711763178e-07,9.138102020624961e-07,0.0009559342038354397,-0.014799642556980741,0.17206833302148672,nan,0.14391471285714286,9.00483370057145e-07,0.007286473490638807,0.0007689330687420045,1.099626429180128e-06,0.0010486307401464674,0.0009412973331437277,0.0024610481454290234,-0.2211512902346493,0.0004310640638207177,0.007286473490638807,0.0029952744598713407,0.0009559342038354397,-0.014799642556980741,0.027729642420016968,0.9621837626225753,0.00523752999999999,0.001810482871430541,0.34567494055987164,,,,,,,,,,,,
"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",1,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}",{},deposition_rate,nm/s,condition_cv,inner_selection,"{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}","[{'effects': {'AB': ['adn_2', 'idn_2']}, 'condition': 1, 'weight': 1.0, 'mse_increase': 1.8316222134339506e-13, 'mean_mse_increase': 1.2451561518851375e-13, 'centered_mse_increase': 5.864660626290593e-14}, {'effects': {'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}, 'condition': 1, 'weight': 1.0, 'mse_increase': 3.2701542321643327e-05, 'mean_mse_increase': 3.0125986119362806e-05, 'centered_mse_increase': 2.575556202280512e-06}]",1,4.4488941923064926e-07,0.00066700031426578,0.0005479421348080499,0.0013891058167892212,49.0,1.0940466334378241e-05,1.1969380361366367e-10,4.4476972542703556e-07,0.0006669105827823064,-0.08027981291687403,0.019955336507712574,nan,0.10921737265306122,4.1171714967634963e-07,0.0061070899076153965,8.712355577955682e-05,4.4488941923064926e-07,0.00066700031426578,0.0005479421348080499,0.0013891058167892212,-0.08057053144464921,1.0940466334378241e-05,0.0061070899076153965,0.00010017148434005653,0.0006669105827823064,-0.08027981291687403,0.009333999988191387,0.9285407847536304,0.0033476649999999997,0.0009536191111662873,0.28486097359391915,1.0,8.97653343679716e-07,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}","{'A': ['aib_qss'], 'B': ['aib_qss'], 'I': ['aib_qss']}",surface_qss,0.0,nan,nan,1.4074646633398433,[],,
"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",1,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}",{},deposition_rate,nm/s,condition_cv,inner_selection,"{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}","[{'effects': {'AB': ['adn_2', 'idn_2']}, 'condition': 2, 'weight': 1.0, 'mse_increase': 4.4516947235288885e-08, 'mean_mse_increase': 4.435070677535527e-08, 'centered_mse_increase': 1.6624045993364938e-10}, {'effects': {'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}, 'condition': 2, 'weight': 1.0, 'mse_increase': 0.00013862493797818677, 'mean_mse_increase': 0.0001368645348391027, 'centered_mse_increase': 1.7604031390840864e-06}]",2,2.2732564931336921e-07,0.00047678679649647304,0.00037023008637695153,0.001135907238999631,49.0,-0.00019712223354347705,3.885717495716911e-08,1.8846847435620008e-07,0.0004341295594130859,-0.09948286506274906,-0.08742041083034223,nan,0.07686286373469386,1.7141556302966477e-07,0.006203083951466982,0.0027513065521508413,2.2732564931336921e-07,0.00047678679649647304,0.00037023008637695153,0.001135907238999631,-0.32616692029316363,-0.00019712223354347705,0.006203083951466982,-0.0025645965290062604,0.0004341295594130859,-0.09948286506274906,0.05245289841515759,0.9909101916023254,0.0019401760000000018,0.00037742585467348544,0.19453176138323797,1.0,9.813707761784416e-07,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}","{'A': ['aib_qss'], 'B': ['aib_qss'], 'I': ['aib_qss']}",surface_qss,0.0,nan,nan,1.4590242156305606,[],,
"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",1,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}",{},deposition_rate,nm/s,condition_cv,inner_selection,"{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}","[{'effects': {'AB': ['adn_2', 'idn_2']}, 'condition': 4, 'weight': 1.0, 'mse_increase': -8.093213548469739e-12, 'mean_mse_increase': -4.171305318151365e-12, 'centered_mse_increase': -3.921908230319201e-12}, {'effects': {'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}, 'condition': 4, 'weight': 1.0, 'mse_increase': 1.9326894435780277e-05, 'mean_mse_increase': 1.826721144778759e-05, 'centered_mse_increase': 1.0596829879926917e-06}]",4,1.793900344827226e-07,0.0004235446074296338,0.00035274237284407193,0.0009648362692292467,49.0,4.888919511354644e-05,2.3901533988504132e-09,1.7699988108387222e-07,0.00042071353803255755,0.03256072782602315,0.23009737523871657,nan,0.07443086153061225,1.8295709733400396e-07,0.00569044343595884,0.0031019972414936927,1.793900344827226e-07,0.0004235446074296338,0.00035274237284407193,0.0009648362692292467,0.019496717554331133,4.888919511354644e-05,0.00569044343595884,0.0006568403765343906,0.00042071353803255755,0.03256072782602315,0.05569557649844099,0.9923953636166871,0.0023843499999999934,0.0008202081954586105,0.3439965590029202,1.0,9.863456350086828e-07,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}","{'A': ['aib_qss'], 'B': ['aib_qss'], 'I': ['aib_qss']}",surface_qss,0.0,nan,nan,1.4330125702369627,[],,
"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",1,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}",{},deposition_rate,nm/s,condition_cv,inner_selection,"{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}","[{'effects': {'AB': ['adn_2', 'idn_2']}, 'condition': 5, 'weight': 1.0, 'mse_increase': 1.982323911953448e-16, 'mean_mse_increase': 1.733958168474073e-16, 'centered_mse_increase': 2.4836700079390595e-17}, {'effects': {'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}, 'condition': 5, 'weight': 1.0, 'mse_increase': 0.0011629034950225545, 'mean_mse_increase': 0.0011626806081712683, 'centered_mse_increase': 2.2288685128569137e-07}]",5,2.3459408088025574e-06,0.0015316464372702198,0.0013114648150311641,0.0029437128379389,49.0,0.000122182337177753,1.4928523518218123e-08,2.3310122852843394e-06,0.0015267653013100407,-0.1721598841895382,-0.24103207388956033,nan,0.20429415020408165,1.988647041010162e-06,0.007497260375493702,0.013798163113631348,2.3459408088025574e-06,0.0015316464372702198,0.0013114648150311641,0.0029437128379389,-0.17966675856712255,0.000122182337177753,0.007497260375493702,0.0005980706596625394,0.0015267653013100407,-0.1721598841895382,0.11746558267693286,0.9869608918428241,0.005754740000000008,0.0012805829245965683,0.22252663449548832,1.0,2.704655385923608e-07,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}","{'A': ['aib_qss'], 'B': ['aib_qss'], 'I': ['aib_qss']}",surface_qss,0.0,nan,nan,1.3823722273578996,[],,
"cvd:aib_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",,"{'A': 'adn_2', 'I': None, 'B': 'idn_2'}",{},deposition_rate,nm/s,outer_condition_cv,outer_selection_procedure,"{'AB': ['adn_2', 'idn_2']}",[],1,4.5875669678391866e-07,0.0006773158028452596,0.0005432645305933671,0.0014705435826978253,49.0,-0.00011055236748045382,1.2221825955533302e-08,4.465348708283854e-07,0.0006682326472332712,-0.08456708975908822,0.04381682312523922,nan,0.10921737265306122,4.1171714967634963e-07,0.006201539062808387,0.00024559327523013025,4.5875669678391866e-07,0.0006773158028452596,0.0005432645305933671,0.0014705435826978253,-0.11425209550912996,-0.00011055236748045382,0.006201539062808387,-0.0010122232827522169,0.0006682326472332712,-0.08456708975908822,0.01567141586552186,0.9567801780861805,0.0033476649999999997,0.0010764949884901343,0.32156592385741534,1.0,,,,,,,,,,1,"cvd:aib_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2"
"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}",{},deposition_rate,nm/s,outer_condition_cv,outer_selection_procedure,"{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}",[],2,2.1717263543953602e-07,0.0004660178488422262,0.0003977144534094681,0.0009672435296426418,49.0,0.00016593890072627544,2.7535718774244695e-08,1.8963691666529134e-07,0.0004354732100431568,-0.10629929577907249,-0.08859746089045648,nan,0.07686286373469386,1.7141556302966477e-07,0.0060629779609925995,0.0031475396842394897,2.1717263543953602e-07,0.0004660178488422262,0.0003977144534094681,0.0009672435296426418,-0.2669365114878901,0.00016593890072627544,0.0060629779609925995,0.002158895631303092,0.0004354732100431568,-0.10629929577907249,0.0561029382852582,0.9916935215322817,0.0019401760000000018,0.00041701910308764023,0.21493880095807796,1.0,,,,,,,,,,2,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2"
"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}",{},deposition_rate,nm/s,outer_condition_cv,outer_selection_procedure,"{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}",[],3,1.099626429180128e-06,0.0010486307401464674,0.0009412973331437277,0.0024610481454290234,49.0,0.0004310640638207177,1.8581622711763178e-07,9.138102020624961e-07,0.0009559342038354397,-0.014799642556980741,0.17206833302148672,nan,0.14391471285714286,9.00483370057145e-07,0.007286473490638807,0.0007689330687420045,1.099626429180128e-06,0.0010486307401464674,0.0009412973331437277,0.0024610481454290234,-0.2211512902346493,0.0004310640638207177,0.007286473490638807,0.0029952744598713407,0.0009559342038354397,-0.014799642556980741,0.027729642420016968,0.9621837626225753,0.00523752999999999,0.001810482871430541,0.34567494055987164,1.0,,,,,,,,,,3,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2"
"cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",,"{'A': 'adn_2', 'I': None, 'B': 'idn_2'}",{},deposition_rate,nm/s,outer_condition_cv,outer_selection_procedure,"{'AB': ['adn_2', 'idn_2']}",[],4,1.787709839826328e-07,0.00042281317858202196,0.00035163807257786314,0.0009113485061002513,49.0,5.101593692216576e-05,2.6026258200463955e-09,1.7616835816258646e-07,0.000419724145317596,0.037105634437477275,0.2467558771894305,nan,0.07443086153061225,1.8295709733400396e-07,0.005680616479336673,0.0034978897279603484,1.787709839826328e-07,0.00042281317858202196,0.00035163807257786314,0.0009113485061002513,0.022880300422175037,5.101593692216576e-05,0.005680616479336673,0.0006854137634989446,0.000419724145317596,0.037105634437477275,0.05914296008791197,0.9928509973468771,0.0023843499999999934,0.0008860024171790937,0.3715907552075392,1.0,,,,,,,,,,4,"cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2"
"cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",,"{'A': 'adn_2', 'I': None, 'B': 'idn_2'}",{},deposition_rate,nm/s,outer_condition_cv,outer_selection_procedure,"{'AB': ['adn_2', 'idn_2']}",[],5,4.44919793705612e-06,0.002109312195256103,0.0017984355696675077,0.003842657144020878,49.0,0.0014369106763359814,2.0647122917683276e-06,2.3844856452877927e-06,0.0015441779836818659,-0.19904920084589706,-0.31700332231647416,nan,0.20429415020408165,1.988647041010162e-06,0.010324878089504691,0.01064968956449839,4.44919793705612e-06,0.002109312195256103,0.0017984355696675077,0.003842657144020878,-1.2372989501425482,0.0014369106763359814,0.010324878089504691,0.007033538037680302,0.0015441779836818659,-0.19904920084589706,0.10319733312687102,0.9795604001446151,0.005754740000000008,0.0012192477790639034,0.21186843872423455,1.0,,,,,,,,,,5,"cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2"
