role,species,reaction_input,reaction_input_unit,predicted_rate_nm_s,reference_input
A,idn_2,1.34339e-06,kmol/m^3,0.08257947727286034,1.697865e-06
A,idn_2,1.3548851898734177e-06,kmol/m^3,0.08304103717038877,1.697865e-06
A,idn_2,1.3663803797468355e-06,kmol/m^3,0.08349988885459753,1.697865e-06
A,idn_2,1.3778755696202532e-06,kmol/m^3,0.08395605609151871,1.697865e-06
A,idn_2,1.389370759493671e-06,kmol/m^3,0.0844095623699158,1.697865e-06
A,idn_2,1.4008659493670887e-06,kmol/m^3,0.08486043090531538,1.697865e-06
A,idn_2,1.4123611392405063e-06,kmol/m^3,0.08530868464396878,1.697865e-06
A,idn_2,1.4238563291139241e-06,kmol/m^3,0.08575434626674479,1.697865e-06
A,idn_2,1.4353515189873418e-06,kmol/m^3,0.08619743819295525,1.697865e-06
A,idn_2,1.4468467088607594e-06,kmol/m^3,0.08663798258411459,1.697865e-06
A,idn_2,1.4583418987341773e-06,kmol/m^3,0.08707600134763464,1.697865e-06
A,idn_2,1.469837088607595e-06,kmol/m^3,0.08751151614045616,1.697865e-06
A,idn_2,1.4813322784810127e-06,kmol/m^3,0.08794454837261814,1.697865e-06
A,idn_2,1.4928274683544304e-06,kmol/m^3,0.08837511921076653,1.697865e-06
A,idn_2,1.504322658227848e-06,kmol/m^3,0.08880324958160293,1.697865e-06
A,idn_2,1.5158178481012659e-06,kmol/m^3,0.089228960175275,1.697865e-06
A,idn_2,1.5273130379746835e-06,kmol/m^3,0.08965227144870964,1.697865e-06
A,idn_2,1.5388082278481013e-06,kmol/m^3,0.09007320362888976,1.697865e-06
A,idn_2,1.550303417721519e-06,kmol/m^3,0.09049177671607603,1.697865e-06
A,idn_2,1.5617986075949366e-06,kmol/m^3,0.09090801048697472,1.697865e-06
A,idn_2,1.5732937974683545e-06,kmol/m^3,0.0913219244978525,1.697865e-06
A,idn_2,1.584788987341772e-06,kmol/m^3,0.09173353808759915,1.697865e-06
A,idn_2,1.59628417721519e-06,kmol/m^3,0.09214287038073966,1.697865e-06
A,idn_2,1.6077793670886076e-06,kmol/m^3,0.09254994029039618,1.697865e-06
A,idn_2,1.6192745569620252e-06,kmol/m^3,0.0929547665212009,1.697865e-06
A,idn_2,1.630769746835443e-06,kmol/m^3,0.09335736757216126,1.697865e-06
A,idn_2,1.6422649367088607e-06,kmol/m^3,0.0937577617394777,1.697865e-06
